date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:58	66361/66361	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Nov%202023%2010:11:50%20GMT	https://htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-3.jpg	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-3.jpg	(from https://htmldemo.net/urdan/urdan/index-3.html)
17:10:58	54345/54345	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Nov%202023%2010:11:50%20GMT	https://htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-3-2.jpg	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-3-2.jpg	(from https://htmldemo.net/urdan/urdan/index-3.html)
17:10:58	51075/51075	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:50%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-8.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-8.png	(from https://htmldemo.net/urdan/urdan/index-3.html)
17:10:59	56988/56988	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:50%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-9.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-9.png	(from https://htmldemo.net/urdan/urdan/index-3.html)
17:10:59	220812/220812	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:51%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/single-product-2.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/single-product-2.png	(from https://htmldemo.net/urdan/urdan/index-3.html)
17:10:59	67272/67272	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:51%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-10.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-10.png	(from https://htmldemo.net/urdan/urdan/index-4.html)
17:11:00	176342/176342	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:51%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-11.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-11.png	(from https://htmldemo.net/urdan/urdan/index-4.html)
17:11:00	114130/114130	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:52%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-12.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-12.png	(from https://htmldemo.net/urdan/urdan/index-4.html)
17:11:00	11284/11284	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:52%20GMT	https://htmldemo.net/urdan/urdan/assets/images/testimonial/client-1.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/testimonial/client-1.png	(from https://htmldemo.net/urdan/urdan/index-4.html)
17:11:00	11182/11182	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:52%20GMT	https://htmldemo.net/urdan/urdan/assets/images/testimonial/client-2.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/testimonial/client-2.png	(from https://htmldemo.net/urdan/urdan/index-4.html)
